!Series_title	"Murine dermal burn wound"
!Series_geo_accession	"GSE460"
!Series_status	"Public on Jun 23 2003"
!Series_submission_date	"Jun 18 2003"
!Series_last_update_date	"Feb 18 2018"
!Series_summary	"Investigation into murine dermal burn wound."
!Series_summary	"Mouse thermal injury induced, and skin excised at 0 hours, 2 hours, 3 days and 14 days post-injury."
!Series_summary	"Keywords: other"
!Series_type	"Expression profiling by array"
!Series_contributor	"Robert,J,Feezor"
!Series_contributor	"Heather,N,Paddock"
!Series_contributor	"Henry,V,Baker"
!Series_contributor	"Juan,C,Varela"
!Series_contributor	"Lyle,L,Moldawer"
!Series_contributor	"Gregory,S,Schultz"
!Series_contributor	"David,W,Mozingo"
!Series_sample_id	"GSM7478 GSM7479 GSM7480 GSM7481 GSM7482 GSM7483 GSM7484 GSM7485 GSM7486 GSM7487 GSM7488 GSM7489 "
!Series_contact_name	"Robert,Joseph,Feezor"
!Series_contact_email	"feezor@surgery.ufl.edu"
!Series_contact_phone	"352 265 0494"
!Series_contact_fax	"352 265 0676"
!Series_contact_laboratory	"Moldawer"
!Series_contact_department	"Surgery"
!Series_contact_institute	"University of Florida"
!Series_contact_address	"1600 SW Archer Road, Room 6116"
!Series_contact_city	"Gainesville"
!Series_contact_state	"FL"
!Series_contact_zip/postal_code	"32610"
!Series_contact_country	"USA"
!Series_contact_web_link	"www.surgery.ufl.edu/research"
!Series_platform_id	"GPL81"
!Series_platform_taxid	"10090"
!Series_sample_taxid	"10090"
!Series_relation	"BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA85065"

!Sample_title	"0 hours, repeat 1"	"0 hours, repeat 2"	"0 hours, repeat 3"	"2 hours, repeat 1"	"2 hours, repeat 2"	"2 hours, repeat 3"	"3 days, repeat 1"	"3 days, repeat 2"	"3 days, repeat 3"	"14 days, repeat 1"	"14 days, repeat 2"	"14 days, repeat 3"
!Sample_geo_accession	"GSM7478"	"GSM7479"	"GSM7480"	"GSM7481"	"GSM7482"	"GSM7483"	"GSM7484"	"GSM7485"	"GSM7486"	"GSM7487"	"GSM7488"	"GSM7489"
!Sample_status	"Public on Jun 23 2003"	"Public on Jun 23 2003"	"Public on Jun 23 2003"	"Public on Jun 23 2003"	"Public on Jun 23 2003"	"Public on Jun 23 2003"	"Public on Jun 23 2003"	"Public on Jun 23 2003"	"Public on Jun 23 2003"	"Public on Jun 23 2003"	"Public on Jun 23 2003"	"Public on Jun 23 2003"
!Sample_submission_date	"Jun 18 2003"	"Jun 18 2003"	"Jun 18 2003"	"Jun 18 2003"	"Jun 18 2003"	"Jun 18 2003"	"Jun 18 2003"	"Jun 18 2003"	"Jun 18 2003"	"Jun 18 2003"	"Jun 18 2003"	"Jun 18 2003"
!Sample_last_update_date	"May 27 2005"	"May 27 2005"	"May 27 2005"	"May 27 2005"	"May 27 2005"	"May 27 2005"	"May 27 2005"	"May 27 2005"	"May 27 2005"	"May 27 2005"	"May 27 2005"	"May 27 2005"
!Sample_type	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"
!Sample_channel_count	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
!Sample_source_name_ch1	"Murine skin"	"Murine skin"	"Murine skin"	"Murine skin"	"Murine skin"	"Murine skin"	"Murine skin"	"Murine skin"	"Murine skin"	"Murine skin"	"Murine skin"	"Murine skin"
!Sample_organism_ch1	"Mus musculus"	"Mus musculus"	"Mus musculus"	"Mus musculus"	"Mus musculus"	"Mus musculus"	"Mus musculus"	"Mus musculus"	"Mus musculus"	"Mus musculus"	"Mus musculus"	"Mus musculus"
!Sample_molecule_ch1	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"
!Sample_taxid_ch1	"10090"	"10090"	"10090"	"10090"	"10090"	"10090"	"10090"	"10090"	"10090"	"10090"	"10090"	"10090"
!Sample_description	"Investigation into murine dermal burn wound."	"Investigation into murine dermal burn wound."	"Investigation into murine dermal burn wound."	"Investigation into murine dermal burn wound."	"Investigation into murine dermal burn wound."	"Investigation into murine dermal burn wound."	"Investigation into murine dermal burn wound."	"Investigation into murine dermal burn wound."	"Investigation into murine dermal burn wound."	"Investigation into murine dermal burn wound."	"Investigation into murine dermal burn wound."	"Investigation into murine dermal burn wound."
!Sample_description	"Mouse thermal injury induced, and skin excised at different times post-injury."	"Mouse thermal injury induced, and skin excised at different times post-injury."	"Mouse thermal injury induced, and skin excised at different times post-injury."	"Mouse thermal injury induced, and skin excised at different times post-injury."	"Mouse thermal injury induced, and skin excised at different times post-injury."	"Mouse thermal injury induced, and skin excised at different times post-injury."	"Mouse thermal injury induced, and skin excised at different times post-injury."	"Mouse thermal injury induced, and skin excised at different times post-injury."	"Mouse thermal injury induced, and skin excised at different times post-injury."	"Mouse thermal injury induced, and skin excised at different times post-injury."	"Mouse thermal injury induced, and skin excised at different times post-injury."	"Mouse thermal injury induced, and skin excised at different times post-injury."
!Sample_platform_id	"GPL81"	"GPL81"	"GPL81"	"GPL81"	"GPL81"	"GPL81"	"GPL81"	"GPL81"	"GPL81"	"GPL81"	"GPL81"	"GPL81"
!Sample_contact_name	"Robert,Joseph,Feezor"	"Robert,Joseph,Feezor"	"Robert,Joseph,Feezor"	"Robert,Joseph,Feezor"	"Robert,Joseph,Feezor"	"Robert,Joseph,Feezor"	"Robert,Joseph,Feezor"	"Robert,Joseph,Feezor"	"Robert,Joseph,Feezor"	"Robert,Joseph,Feezor"	"Robert,Joseph,Feezor"	"Robert,Joseph,Feezor"
!Sample_contact_email	"feezor@surgery.ufl.edu"	"feezor@surgery.ufl.edu"	"feezor@surgery.ufl.edu"	"feezor@surgery.ufl.edu"	"feezor@surgery.ufl.edu"	"feezor@surgery.ufl.edu"	"feezor@surgery.ufl.edu"	"feezor@surgery.ufl.edu"	"feezor@surgery.ufl.edu"	"feezor@surgery.ufl.edu"	"feezor@surgery.ufl.edu"	"feezor@surgery.ufl.edu"
!Sample_contact_phone	"352 265 0494"	"352 265 0494"	"352 265 0494"	"352 265 0494"	"352 265 0494"	"352 265 0494"	"352 265 0494"	"352 265 0494"	"352 265 0494"	"352 265 0494"	"352 265 0494"	"352 265 0494"
!Sample_contact_fax	"352 265 0676"	"352 265 0676"	"352 265 0676"	"352 265 0676"	"352 265 0676"	"352 265 0676"	"352 265 0676"	"352 265 0676"	"352 265 0676"	"352 265 0676"	"352 265 0676"	"352 265 0676"
!Sample_contact_laboratory	"Moldawer"	"Moldawer"	"Moldawer"	"Moldawer"	"Moldawer"	"Moldawer"	"Moldawer"	"Moldawer"	"Moldawer"	"Moldawer"	"Moldawer"	"Moldawer"
!Sample_contact_department	"Surgery"	"Surgery"	"Surgery"	"Surgery"	"Surgery"	"Surgery"	"Surgery"	"Surgery"	"Surgery"	"Surgery"	"Surgery"	"Surgery"
!Sample_contact_institute	"University of Florida"	"University of Florida"	"University of Florida"	"University of Florida"	"University of Florida"	"University of Florida"	"University of Florida"	"University of Florida"	"University of Florida"	"University of Florida"	"University of Florida"	"University of Florida"
!Sample_contact_address	"1600 SW Archer Road, Room 6116"	"1600 SW Archer Road, Room 6116"	"1600 SW Archer Road, Room 6116"	"1600 SW Archer Road, Room 6116"	"1600 SW Archer Road, Room 6116"	"1600 SW Archer Road, Room 6116"	"1600 SW Archer Road, Room 6116"	"1600 SW Archer Road, Room 6116"	"1600 SW Archer Road, Room 6116"	"1600 SW Archer Road, Room 6116"	"1600 SW Archer Road, Room 6116"	"1600 SW Archer Road, Room 6116"
!Sample_contact_city	"Gainesville"	"Gainesville"	"Gainesville"	"Gainesville"	"Gainesville"	"Gainesville"	"Gainesville"	"Gainesville"	"Gainesville"	"Gainesville"	"Gainesville"	"Gainesville"
!Sample_contact_state	"FL"	"FL"	"FL"	"FL"	"FL"	"FL"	"FL"	"FL"	"FL"	"FL"	"FL"	"FL"
!Sample_contact_zip/postal_code	"32610"	"32610"	"32610"	"32610"	"32610"	"32610"	"32610"	"32610"	"32610"	"32610"	"32610"	"32610"
!Sample_contact_country	"USA"	"USA"	"USA"	"USA"	"USA"	"USA"	"USA"	"USA"	"USA"	"USA"	"USA"	"USA"
!Sample_contact_web_link	"www.surgery.ufl.edu/research"	"www.surgery.ufl.edu/research"	"www.surgery.ufl.edu/research"	"www.surgery.ufl.edu/research"	"www.surgery.ufl.edu/research"	"www.surgery.ufl.edu/research"	"www.surgery.ufl.edu/research"	"www.surgery.ufl.edu/research"	"www.surgery.ufl.edu/research"	"www.surgery.ufl.edu/research"	"www.surgery.ufl.edu/research"	"www.surgery.ufl.edu/research"
!Sample_supplementary_file	"NONE"	"NONE"	"NONE"	"NONE"	"NONE"	"NONE"	"NONE"	"NONE"	"NONE"	"NONE"	"NONE"	"NONE"
!Sample_data_row_count	"7275"	"7275"	"7275"	"7275"	"7275"	"7275"	"7275"	"7275"	"7275"	"7275"	"7275"	"7275"
!series_matrix_table_begin
"ID_REF"	"GSM7478"	"GSM7479"	"GSM7480"	"GSM7481"	"GSM7482"	"GSM7483"	"GSM7484"	"GSM7485"	"GSM7486"	"GSM7487"	"GSM7488"	"GSM7489"
"100003_at"	13897.8	9177.6	7593.1	6832.6	7314.4	6630.4	5825.3	3314	1833.4	2747.7	4745.5	4152.9
"100004_at"	217.4	140.5	294.5	181.2	222.4	258.2	142.3	183.4	139.8	280.4	61.3	237.1
"100005_at"	538.4	313.3	1049.2	315.3	313.6	275.7	387	485	451.4	524.2	672.9	536.2
"100006_at"	106.5	99.7	231	49.2	8.8	106.7	120.5	55.5	22.8	148.9	101.5	92.6
"100007_at"	746.4	672.8	1002.3	707.8	632.3	729.9	728	901.8	642.7	850.3	1012	817.7
"100009_r_at"	33.5	52.1	40.3	98.8	32.8	93.2	8.1	28.5	56.5	44.7	80.3	45.2
"100010_at"	207.3	161.7	294.7	193.7	83.8	53.4	184.2	288.4	237.3	150.3	291.5	284.2
"100011_at"	701	1198.2	819	184.1	549.4	537.4	223.3	523.5	957.8	262.8	657.8	533.1
"100012_at"	2315.5	2175.7	2026.2	2212.5	1539	2036	3711.9	5642.2	6636	2841.3	2834.3	3033.9
"100013_at"	472.8	495.8	115.6	499.1	252.3	370.4	578.2	484	403	506.9	302.2	355.2
"100014_at"	88.5	165.9	262.5	185.8	204.8	275.4	104.2	160.8	125	150.7	102.3	183.7
"100015_at"	181.2	301.3	474.2	160.9	219.8	270.2	117	205.3	265.9	238.9	179.9	247.9
"100016_at"	231.2	234.9	327.6	217.8	125.9	57.9	218.5	137.1	225.3	867.9	747	578.1
"100017_at"	1210	1026.3	1486.8	1417.9	849.7	1272.2	1245	1116.3	885.2	794.1	1270.4	1029.6
"100019_at"	44.9	352.4	64.4	248.7	321.5	278.7	378.2	351.6	794.6	688.1	655.7	566.4
"100020_at"	593.5	643.5	744.7	626.2	506.9	479.1	606.3	751.7	717.1	750.5	801.9	760.5
"100021_at"	131.9	221.2	83	24.7	36.7	41.3	188.6	202	264	24.3	19.3	17.2
"100022_at"	287.1	515.5	623.6	492.5	727.8	522.8	365.7	544.9	440.2	379.4	613.3	396.8
"100024_at"	226	372.6	494.6	576.3	591.1	544.9	444.3	419.1	410.9	340	468.6	527.1
"100026_at"	298.1	111.7	170.3	95.1	125.7	119.6	424.9	456.5	920.9	507.9	339.2	200.9
"100027_s_at"	1098.9	770.9	2118.9	850.3	1162.8	1134.1	996.3	1094.1	987.6	1020.7	1098	1188.5
"100029_at"	1230.2	1318.2	2158.6	1294.7	1289.2	1355.1	1371.3	2651.4	2137	1986.4	1953.5	1980.2
"100030_at"	32.3	221.4	195	55.7	57.7	98.7	135.9	390.1	561.3	202.2	123.1	127.1
"100032_at"	180.1	353.8	289.8	188.6	291.3	280.9	128.5	354.2	541.4	88.1	567.8	354.8
"100033_at"	296	295.7	270.1	259.2	302	365.7	296.7	291.7	245.6	345.7	492.2	328.6
"100034_at"	520.8	1076.2	771	1345.3	1498.4	978.1	1350.1	921.8	1018.1	1714.3	1160.2	1408.1
"100037_at"	144.2	51.6	82.2	190.2	74.1	50.4	126.4	48.5	147.4	166.5	115.8	127.1
"100039_at"	1029.6	898.4	752.1	929.6	880.1	930.2	794.1	981.3	821.4	591.7	1076.6	1088.7
"100040_at"	380	413.7	454.9	284.7	377.6	373.5	404.1	314.5	419.3	386.1	402.3	305.1
"100041_at"	2133.6	2070	2069.1	1748.9	1629.7	1535.9	2045.2	1799.9	1890.5	1693.7	1812.2	1736.5
"100042_at"	709	436.7	526.4	675	455.3	451.8	586.3	558.6	509.6	552.6	543.1	629.8
"100043_f_at"	6509.8	10337.6	6562.8	7970.2	5937.5	8089.4	5908.9	7181	4240.2	5491.3	6392	9558.1
"100046_at"	361.4	603	112.2	617	322.2	451.7	545.4	608.7	813.9	647.1	485.2	548.6
"100048_at"	174.5	143.5	409.9	161.4	100.5	176	198.2	171.3	155	134.2	190.8	115.6
"100050_at"	648.6	971.5	503.9	930.2	758.5	1052.9	623.5	938	1306.6	1005.4	829.7	1222.9
"100051_at"	2194.7	1906.8	2882.5	1651.6	2151.9	2180.2	2404.7	2394.4	3203.7	2652.9	2446.4	2250.6
"100056_at"	1046.8	790.7	643.8	892.6	953.3	1067.1	950.3	813.5	655.8	750.3	743.9	707.4
"100057_at"	314.8	443.4	531.4	267.9	341.9	264.2	620.8	405.5	415.4	366	504.9	317.4
"100059_at"	1513.5	1478.1	1451.8	1717.4	927.2	1095.3	3061.8	4046.8	4801.6	2385.5	2451.7	2226.8
"100062_at"	24.3	134	159.2	112	231.7	191.2	321.6	259.9	191.2	376.5	249.1	169.1
"100064_f_at"	3207.7	4984.9	3097	5107.4	4567.7	6222.5	5102.8	4128.8	5993.9	6350.3	6300.8	6607.3
"100065_r_at"	191.7	355.1	298.3	168.9	363.1	215.7	373.5	254.7	414.6	407.1	472.9	519
"100066_at"	653.5	665.2	561.5	634.1	628.3	687.3	547.8	449.6	445.9	671.3	527.3	519.2
"100068_at"	2591.1	1747.6	1619.6	1989.7	2850.7	2576.4	1750.7	1277.4	723.4	532.3	941	1433.3
"100069_at"	698.9	561	573.4	985.5	1042.7	617.6	865.9	992.2	432.9	694.9	991.1	1100.1
"100072_at"	746.5	831.2	553.1	579.5	513.7	791.5	472.8	564.2	481.4	550.4	622.5	528.9
"100073_at"	250.5	387.8	437	323.4	207.2	261.1	297.4	273.2	170.9	272.9	301.6	291.7
"100074_at"	674.1	754.6	952.6	1114.6	578.3	1157.3	374.1	1198.1	1544.6	1973.9	1495.7	1357.8
"100079_at"	4414.9	2004.6	2117.3	3167.4	3073.8	3362.7	2219.6	2158.6	1408.5	1578.2	1895.7	2341.5
"100081_at"	431.7	492.1	359.4	672.7	622	321.9	422.3	445.9	427.9	454.5	746.7	607
"100084_at"	833.9	913.8	690.8	1498.2	1160.2	1382.6	863	776.9	937.7	1197.4	904.3	1248
"100086_at"	910.2	821.3	704.1	703	887.5	923	882.5	847.5	759.2	756.3	569.6	786.5
"100088_at"	999.6	973.8	550.9	1161.8	1481.3	1134.8	953.8	607	840.1	893.6	848.3	986.8
"100089_at"	528.3	1043.2	943.3	912.5	968.9	717.6	921.5	943.4	1250.2	1737.7	1207.1	831.9
"100091_at"	1578.2	1640	1363.4	1685.4	1667.6	1434.4	1611.2	1425.4	1721.4	2276.2	1826.4	1469.6
"100093_at"	1224.6	1200.1	1131.7	1249.6	827.6	1149.1	984.3	1395.7	1375.1	1371.6	1308	1455.9
"100094_at"	1018	1014.1	811.7	1290.4	999.4	905.9	1176.1	1002.6	1037.8	1172	1241.1	1372.9
"100095_at"	1868.1	1003.6	1736.8	887.2	900.5	990.6	1203.6	1551	1559	1483	1337.6	1226.7
"100099_at"	2831.1	2145.9	2305.9	2320.4	1875.8	2072.9	2785.6	2617.7	2138.1	2540.2	2561.7	3163.7
"100100_at"	33.7	121.8	72	153.2	65.6	86.2	18	67.9	148.8	97.6	133.6	45
"100101_at"	1093.4	651.1	1057.1	918.9	723.1	721.8	772.8	998.7	919.8	1072.5	1079.9	1031.2
"100104_r_at"	26	61.7	73.8	102.1	98.3	51.1	94.1	85	46.7	41.1	93	16.7
"100112_at"	647.2	417.5	727.1	456.9	627.1	508.5	511.5	565.9	576.8	445.3	426	452
"100113_s_at"	222.6	283.4	353.8	264.8	197.9	264.1	266.7	231	164.1	262.4	219.9	287.6
"100115_at"	613.5	855	604	899.1	648.4	687.3	846	706.9	926	951.6	937.7	868.9
"100116_at"	17.3	60.2	169.4	162.1	224.4	103.1	164.7	222.8	307.1	500.2	575.2	389.6
"100120_at"	288.2	147.9	270.9	230.4	313.7	180	141.4	172.4	215.5	307.7	209.1	177.8
"100123_f_at"	5115.2	7585.9	4414.5	5334.2	5245.6	5930.1	5952.8	5559.3	7460.1	5728.7	5180.6	4915.7
"100124_r_at"	1339.9	1332.6	808.4	1369.8	1332.6	1007.7	1608.9	1532.6	1707.9	1544.4	1163.4	1314.6
"100125_at"	161.7	217.3	145.2	269.8	345	338.5	191.6	177.7	226.9	284.6	205.7	273.5
"100126_at"	917.1	1149.7	631.7	738.1	807.2	798.8	898.2	665.4	706.8	658.8	834.8	587.3
"100127_at"	275.3	624.5	518.5	421	424.4	454.7	748.3	659.5	978.2	1044.1	573.8	729.4
"100128_at"	94	244.5	252.6	176.1	175.9	109.4	499.9	595.3	754.7	812.1	802.3	698.1
"100130_at"	773.6	580.1	839.6	1128.1	2240.8	608.4	337.8	532.5	382.7	415.9	701.8	553.2
"100133_at"	148.1	355.5	254.6	342.5	449.2	420.9	398.1	294.2	384.8	343.9	300.6	251.4
"100134_at"	3129.6	1958.1	2099.6	1854.4	1912.9	2035.1	2888.4	3346.8	3295.8	2261.3	2499.6	1767.1
"100136_at"	454.7	499.8	421.7	599.2	538.3	543.8	916.4	766.1	747.5	727.6	702.6	692.8
"100138_f_at"	179.5	390.2	210.8	249	262.5	475.7	279.1	367.7	295.3	386.1	421.6	204.7
"100141_at"	123.6	136.5	205.6	94.7	69.3	133.6	25.9	93.1	100.4	179.5	87.2	89.3
"100142_at"	563.9	641.4	513.4	782.8	537	593	767.3	614	582	525.6	599.3	782.4
"100144_at"	2103.6	2808.9	1714.6	4276.8	2760.2	4727.3	3240	3949.9	4114	3156.5	3812.3	4228
"100148_at"	236.1	388.4	94.6	317.5	300.1	250.6	247.2	275.9	187.4	268.9	342.6	396.4
