HG ID,Gene Name,Gene Description,RefSeq,"""0hrs_replicate1""","""0hrs_replicate2""","""0hrs_replicate3""","""2hrs_replicate1""","""2hrs_replicate2""","""2hrs_replicate3""","""72hrs_replicate1""","""72hrs_replicate2""","""72hrs_replicate3""","""336hrs_replicate1""","""336hrs_replicate2""","""336hrs_replicate3""
"
68069.0,Ryr1,"ryanodine receptor 1, skeletal muscle",NC_000073.7,13897.8,9177.6,7593.1,6832.6,7314.4,6630.4,5825.3,3314,1833.4,2747.7,4745.5,"4152.9
"
9136.0,Ints7,integrator complex subunit 7,NC_000067.7,217.4,140.5,294.5,181.2,222.4,258.2,142.3,183.4,139.8,280.4,61.3,"237.1
"
3173.0,Traf4,TNF receptor associated factor 4,NC_000077.7,538.4,313.3,1049.2,315.3,313.6,275.7,387,485,451.4,524.2,672.9,"536.2
"
1361.0,Cdh11,cadherin 11,NC_000074.7,106.5,99.7,231,49.2,8.8,106.7,120.5,55.5,22.8,148.9,101.5,"92.6
"
32276.0,Irf2bp1,interferon regulatory factor 2 binding protein 1,NC_000073.7,746.4,672.8,1002.3,707.8,632.3,729.9,728,901.8,642.7,850.3,1012,"817.7
"
68298.0,Sox2,SRY (sex determining region Y)-box 2,NC_000069.7,33.5,52.1,40.3,98.8,32.8,93.2,8.1,28.5,56.5,44.7,80.3,"45.2
"
7396.0,Klf3,Kruppel-like factor 3 (basic),NC_000071.7,207.3,161.7,294.7,193.7,83.8,53.4,184.2,288.4,237.3,150.3,291.5,"284.2
"
4922.0,Laptm5,lysosomal-associated protein transmembrane 5,NC_000070.7,2315.5,2175.7,2026.2,2212.5,1539,2036,3711.9,5642.2,6636,2841.3,2834.3,"3033.9
"
4040.0,Ifi35,interferon-induced protein 35,NC_000077.7,472.8,495.8,115.6,499.1,252.3,370.4,578.2,484,403,506.9,302.2,"355.2
"
4993.0,Tlk2,tousled-like kinase 2 (Arabidopsis),NC_000077.7,88.5,165.9,262.5,185.8,204.8,275.4,104.2,160.8,125,150.7,102.3,"183.7
"
55900.0,Yes1,"YES proto-oncogene 1, Src family tyrosine kinase",NC_000071.7,181.2,301.3,474.2,160.9,219.8,270.2,117,205.3,265.9,238.9,179.9,"247.9
"
38116.0,Mmp11,matrix metallopeptidase 11,NC_000076.7,231.2,234.9,327.6,217.8,125.9,57.9,218.5,137.1,225.3,867.9,747,"578.1
"
3661.0,Mybph,myosin binding protein H,NC_000067.7,1210,1026.3,1486.8,1417.9,849.7,1272.2,1245,1116.3,885.2,794.1,1270.4,"1029.6
"
3228.0,Vcan,versican,NC_000079.7,44.9,352.4,64.4,248.7,321.5,278.7,378.2,351.6,794.6,688.1,655.7,"566.4
"
128699.0,Slc4a2,"solute carrier family 4 (anion exchanger), member 2",NC_000071.7,593.5,643.5,744.7,626.2,506.9,479.1,606.3,751.7,717.1,750.5,801.9,"760.5
"
59.0,Chrna1,"cholinergic receptor, nicotinic, alpha polypeptide 1 (muscle)",NC_000068.8,131.9,221.2,83,24.7,36.7,41.3,188.6,202,264,24.3,19.3,"17.2
"
7667.0,Cish,cytokine inducible SH2-containing protein,NC_000075.7,287.1,515.5,623.6,492.5,727.8,522.8,365.7,544.9,440.2,379.4,613.3,"396.8
"
9263.0,Shroom3,shroom family member 3,NC_000071.7,226,372.6,494.6,576.3,591.1,544.9,444.3,419.1,410.9,340,468.6,"527.1
"
20320.0,Bcat1,"branched chain aminotransferase 1, cytosolic",NC_000072.7,298.1,111.7,170.3,95.1,125.7,119.6,424.9,456.5,920.9,507.9,339.2,"200.9
"
37936.0,Pex14,peroxisomal biogenesis factor 14,NC_000070.7,1098.9,770.9,2118.9,850.3,1162.8,1134.1,996.3,1094.1,987.6,1020.7,1098,"1188.5
"
2524.0,Upp1,uridine phosphorylase 1,NC_000077.7,32.3,221.4,195,55.7,57.7,98.7,135.9,390.1,561.3,202.2,123.1,"127.1
"
8276.0,Sp1,trans-acting transcription factor 1,NC_000081.7,180.1,353.8,289.8,188.6,291.3,280.9,128.5,354.2,541.4,88.1,567.8,"354.8
"
210.0,Msh2,mutS homolog 2,NC_000083.7,296,295.7,270.1,259.2,302,365.7,296.7,291.7,245.6,345.7,492.2,"328.6
"
20580.0,Serpinb5,"serine (or cysteine) peptidase inhibitor, clade B, member 5",NC_000067.7,520.8,1076.2,771,1345.3,1498.4,978.1,1350.1,921.8,1018.1,1714.3,1160.2,"1408.1
"
6697.0,Ddx18,DEAD box helicase 18,NC_000067.7,144.2,51.6,82.2,190.2,74.1,50.4,126.4,48.5,147.4,166.5,115.8,"127.1
"
40934.0,Cnpy2,canopy FGF signaling regulator 2,NC_000076.7,1029.6,898.4,752.1,929.6,880.1,930.2,794.1,981.3,821.4,591.7,1076.6,"1088.7
"
32526.0,Mrpl17,mitochondrial ribosomal protein L17,NC_000073.7,380,413.7,454.9,284.7,377.6,373.5,404.1,314.5,419.3,386.1,402.3,"305.1
"
69200.0,Slc25a39,"solute carrier family 25, member 39",NC_000077.7,2133.6,2070,2069.1,1748.9,1629.7,1535.9,2045.2,1799.9,1890.5,1693.7,1812.2,"1736.5
"
3890.0,Hagh,hydroxyacyl glutathione hydrolase,NC_000083.7,709,436.7,526.4,675,455.3,451.8,586.3,558.6,509.6,552.6,543.1,"629.8
"
105928.0,Psapl1,prosaposin-like 1,NC_000071.7,6509.8,10337.6,6562.8,7970.2,5937.5,8089.4,5908.9,7181,4240.2,5491.3,6392,"9558.1
"
21321.0,Mthfd2,"methylenetetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase",NC_000072.7,361.4,603,112.2,617,322.2,451.7,545.4,608.7,813.9,647.1,485.2,"548.6
"
2162.0,Rap1a,RAS-related protein 1a,NC_000069.7,174.5,143.5,409.9,161.4,100.5,176,198.2,171.3,155,134.2,190.8,"115.6
"
1631.0,Id1,"inhibitor of DNA binding 1, HLH protein",NC_000068.8,648.6,971.5,503.9,930.2,758.5,1052.9,623.5,938,1306.6,1005.4,829.7,"1222.9
"
81681.0,Stom,stomatin,NC_000068.8,2194.7,1906.8,2882.5,1651.6,2151.9,2180.2,2404.7,2394.4,3203.7,2652.9,2446.4,"2250.6
"
